TS_Pcomp,TS_Pscav,TS_Texh,TS_Ntc,TS_Pmax,TS_PR,TS_Ntc_Pscav,TS_Pcomp_Pscav,Estimated engine load
61.353172,1.6476716,308.599,10456.769,108.42839,47.982132,6583.1016,38.19472,54.03452
61.049675,1.6382489,307.71017,10420.767,107.97471,47.74255,6630.639,38.348324,53.709873
60.736336,1.6281079,306.7941,10384.378,107.47597,47.468933,6680.7573,38.515987,53.364723
60.418648,1.6171931,305.8709,10348.063,106.93704,47.168667,6732.594,38.698563,53.002045
60.102432,1.6054822,304.96045,10312.245,106.36438,46.849293,6785.2715,38.89615,52.625896
59.793205,1.592995,304.08063,10277.276,105.76565,46.51789,6837.968,39.10806,52.24106
59.495647,1.5797936,303.24637,10243.409,105.14932,46.180508,6889.9614,39.332863,51.852573
59.21324,1.5659723,302.46878,10210.798,104.52403,45.84197,6940.667,39.568455,51.465237
58.948025,1.5516587,301.75482,10179.514,103.89798,45.505867,6989.6396,39.812298,51.08339
58.700687,1.5369991,301.1077,10149.56,103.27831,45.17472,7036.571,40.061607,50.710564
58.470707,1.5221536,300.5275,10120.906,102.67089,44.850227,7081.27,40.313545,50.34953
58.25664,1.5072862,300.0114,10093.505,102.08001,44.533516,7123.6465,40.565388,50.002235
58.056446,1.4925569,299.55496,10067.308,101.50865,44.225304,7163.6777,40.81468,49.66992
57.86777,1.4781156,299.1522,10042.281,100.95833,43.926136,7201.404,41.05926,49.353172
57.68824,1.4640942,298.7964,10018.395,100.429695,43.63629,7236.907,41.29739,49.052143
57.51564,1.4506035,298.48077,9995.625,99.92252,43.355976,7270.302,41.527683,48.766567
57.34807,1.4377284,298.19855,9973.959,99.43623,43.085228,7301.7266,41.749176,48.49599
57.183968,1.4255283,297.94342,9953.376,98.96979,42.823902,7331.3403,41.961205,48.239693
57.022205,1.4140364,297.70966,9933.848,98.52222,42.571785,7359.3066,42.163456,47.9969
56.862026,1.4032623,297.49222,9915.344,98.09236,42.328503,7385.7983,42.35586,47.76673
56.702988,1.3931965,297.2869,9897.819,97.67913,42.093616,7410.988,42.53858,47.548306
56.544937,1.3838123,297.09003,9881.221,97.28151,41.866634,7435.042,42.71193,47.340714
56.38789,1.3750708,296.8987,9865.491,96.898445,41.647034,7458.1187,42.87635,47.14306
56.232048,1.3669254,296.71063,9850.564,96.528984,41.434326,7480.3633,43.032345,46.95443
56.077637,1.359325,296.52383,9836.369,96.17217,41.228012,7501.906,43.18047,46.773987
55.924946,1.3522166,296.33682,9822.841,95.82708,41.027615,7522.861,43.321285,46.60088
55.774284,1.3455485,296.14838,9809.91,95.492836,40.832767,7543.3276,43.455353,46.43433
55.625893,1.3392708,295.95755,9797.515,95.168625,40.64303,7563.385,43.583183,46.273613
55.480026,1.3333387,295.76346,9785.6,94.853615,40.458115,7583.0986,43.705273,46.118004
55.33688,1.3277123,295.56546,9774.109,94.54714,40.27768,7602.5195,43.822052,45.96689
55.19664,1.3223562,295.36298,9763.004,94.24855,40.101463,7621.6846,43.933895,45.819725
55.059425,1.3172415,295.15564,9752.25,93.95732,39.929195,7640.617,44.04112,45.676018
54.925407,1.3123449,294.94302,9741.821,93.673035,39.760654,7659.328,44.144,45.535393
54.794693,1.3076494,294.72482,9731.705,93.39542,39.595646,7677.819,44.24273,45.39755
54.667427,1.3031428,294.5009,9721.894,93.124306,39.43398,7696.0806,44.33744,45.26228
54.543774,1.2988185,294.2712,9712.393,92.85974,39.275513,7714.0884,44.42821,45.129513
54.42393,1.2946757,294.0358,9703.217,92.60194,39.12011,7731.8105,44.515064,44.99924
54.308167,1.290719,293.79486,9694.388,92.3512,38.967693,7749.201,44.597935,44.87158
54.196774,1.2869568,293.5488,9685.942,92.10813,38.81819,7766.203,44.67671,44.746758
54.09013,1.2834029,293.29813,9677.922,91.87347,38.67162,7782.745,44.75122,44.625103
53.98869,1.280075,293.04343,9670.379,91.64811,38.52798,7798.7427,44.821217,44.507042
53.89296,1.2769963,292.7856,9663.373,91.43321,38.387344,7814.098,44.886395,44.393093
53.803543,1.2741919,292.52563,9656.976,91.23004,38.249836,7828.7017,44.946396,44.283882
53.721107,1.2716911,292.26468,9651.259,91.040054,38.115604,7842.4287,45.000797,44.180103
53.646393,1.2695264,292.004,9646.305,90.86482,37.984844,7855.1484,45.049156,44.082516
53.58017,1.2677307,291.74503,9642.197,90.70605,37.857803,7866.7153,45.090946,43.991962
53.523273,1.2663405,291.48932,9639.029,90.565475,37.734756,7876.981,45.12565,43.909306
53.476547,1.2653899,291.23843,9636.884,90.444885,37.615993,7885.7925,45.152714,43.835464
53.440838,1.2649146,290.99423,9635.853,90.34604,37.501854,7892.9956,45.171597,43.77134
53.416977,1.2649472,290.75836,9636.016,90.27061,37.39266,7898.4404,45.181755,43.717857
53.405735,1.2655181,290.5326,9637.449,90.220146,37.28877,7901.9834,45.1827,43.67588
53.40782,1.2666527,290.31876,9640.222,90.196014,37.190533,7903.493,45.173973,43.646263
53.42384,1.2683711,290.11856,9644.388,90.19933,37.098248,7902.855,45.155212,43.629753
53.454273,1.2706883,289.93378,9649.986,90.23092,37.01223,7899.9697,45.126114,43.62705
