TS_Pcomp,TS_Pscav,TS_Texh,TS_Ntc,TS_Pmax,TS_PR,TS_Ntc_Pscav,TS_Pcomp_Pscav,Estimated engine load,matched_load,matched_date,deltas,Ref_Pscav,Ref_Pcomp,Ref_Pmax,Ref_Texh,Ref_Ntc,Ref_Ntc_Pscav,Ref_Pcomp_Pscav,Ref_PR
59.167587,1.4669737,298.56528,10200.943,97.3692,36.057114,6861.994,40.809525,50.72308,50.69784737547892,307.0,0.025232624521080993,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.167244,1.4669518,298.5657,10200.886,97.36784,36.0567,6862.016,40.80992,50.722694,50.69784737547892,307.0,0.024846624521075,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.16691,1.4669306,298.56607,10200.829,97.366516,36.056313,6862.038,40.81031,50.722332,50.69784737547892,307.0,0.024484624521079468,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.166573,1.4669101,298.56644,10200.776,97.36522,36.055935,6862.06,40.81069,50.721962,50.69784737547892,307.0,0.02411462452107571,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.166256,1.4668899,298.5668,10200.723,97.36395,36.055553,6862.082,40.81106,50.721603,50.69784737547892,307.0,0.02375562452107971,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.165928,1.4668703,298.56714,10200.672,97.36273,36.055195,6862.1025,40.811428,50.72125,50.69784737547892,307.0,0.023402624521075666,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.165623,1.4668514,298.56747,10200.62,97.361534,36.054836,6862.124,40.81178,50.7209,50.69784737547892,307.0,0.023052624521078258,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.16532,1.4668328,298.5678,10200.571,97.360374,36.054493,6862.144,40.812122,50.72057,50.69784737547892,307.0,0.022722624521080093,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.16503,1.4668146,298.56805,10200.523,97.359245,36.054165,6862.165,40.812466,50.720245,50.69784737547892,307.0,0.02239762452107641,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.16474,1.466797,298.5684,10200.478,97.358154,36.053825,6862.185,40.812798,50.719913,50.69784737547892,307.0,0.022065624521076188,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.16446,1.46678,298.56866,10200.432,97.35708,36.05351,6862.205,40.813114,50.719604,50.69784737547892,307.0,0.02175662452107474,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.16419,1.4667631,298.5689,10200.387,97.35605,36.053192,6862.2246,40.813435,50.7193,50.69784737547892,307.0,0.02145262452107488,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.16392,1.4667469,298.56915,10200.344,97.355034,36.052902,6862.2437,40.813736,50.718987,50.69784737547892,307.0,0.021139624521076428,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.163662,1.466731,298.56943,10200.301,97.35405,36.05261,6862.2627,40.814037,50.718693,50.69784737547892,307.0,0.020845624521079742,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.16341,1.4667156,298.56967,10200.26,97.35309,36.05232,6862.2812,40.814327,50.718403,50.69784737547892,307.0,0.020555624521080063,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.163162,1.4667006,298.5699,10200.22,97.35216,36.05204,6862.2993,40.814617,50.718132,50.69784737547892,307.0,0.020284624521075045,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.162914,1.4666861,298.5701,10200.181,97.351265,36.051765,6862.317,40.814888,50.717854,50.69784737547892,307.0,0.020006624521080596,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.16268,1.4666717,298.5703,10200.143,97.35037,36.05151,6862.335,40.81516,50.71759,50.69784737547892,307.0,0.01974262452107922,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.162453,1.4666578,298.5705,10200.106,97.34951,36.051254,6862.3516,40.81543,50.717327,50.69784737547892,307.0,0.019479624521075323,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
59.16223,1.4666443,298.57068,10200.068,97.34868,36.051003,6862.369,40.815678,50.71707,50.69784737547892,307.0,0.01922262452107759,1.413688063621521,56.66119384765625,107.35175323486328,302.39508056640625,10225.3251953125,7519.01611328125,39.434532165527344,50.008583068847656
