TS_Pcomp,TS_Pscav,TS_Texh,TS_Ntc,TS_Pmax,TS_PR,TS_Ntc_Pscav,TS_Pcomp_Pscav,Estimated engine load,matched_load,matched_date,deltas,Ref_Pscav,Ref_Pcomp,Ref_Pmax,Ref_Texh,Ref_Ntc,Ref_Ntc_Pscav,Ref_Pcomp_Pscav,Ref_PR
61.836674,1.6442604,309.54602,10494.604,106.59843,47.459442,6534.857,38.24135,54.014053,53.96635972222222,2022-09-04 04:00:00,0.04769327777777477,1.5777180194854736,59.66762924194336,114.09413146972656,306.078369140625,10613.5927734375,6945.0546875,39.229190826416016,54.45060348510742
61.626377,1.6380038,308.95782,10465.521,106.47001,47.451458,6565.0723,38.338375,53.804543,53.95248833333333,2022-08-20 20:00:00,0.14794533333332538,1.5624831914901733,59.46146011352539,110.79212188720703,307.66278076171875,10579.16796875,6782.06884765625,38.584510803222656,53.477291107177734
61.397175,1.6314411,308.29556,10434.975,106.28712,47.393867,6599.468,38.441776,53.580044,53.55218638888889,2022-08-18 19:00:00,0.027857611111109293,1.5304055213928223,58.58922576904297,111.19869995117188,303.42120361328125,10486.0986328125,7031.9150390625,39.28716278076172,53.64745330810547
61.149467,1.6244563,307.5663,10403.213,106.05021,47.287224,6637.813,38.553757,53.337013,53.23136861111112,2022-09-09 10:00:00,0.1056443888888765,1.517144799232483,58.99005126953125,110.24600219726562,306.748291015625,10501.0888671875,6907.42529296875,39.06879806518555,53.0927848815918
60.885143,1.6169358,306.78186,10370.572,105.76067,47.134457,6679.673,38.676395,53.073635,53.23136861111112,2022-09-09 10:00:00,0.1577336111111194,1.517144799232483,58.99005126953125,110.24600219726562,306.748291015625,10501.0888671875,6907.42529296875,39.06879806518555,53.0927848815918
60.607483,1.6087784,305.95767,10337.444,105.42098,46.94049,6724.4395,38.811527,52.789787,52.774525,2022-08-20 22:00:00,0.015261999999999887,1.5164012908935547,58.53754425048828,109.23409271240234,305.1877746582031,10460.044921875,6929.9970703125,39.230201721191406,52.937713623046875
60.320976,1.5999038,305.11182,10304.251,105.03493,46.711704,6771.3696,38.96052,52.48694,52.65038055555556,2022-08-20 02:00:00,0.16344055555556025,1.4959241151809692,58.346500396728516,109.73296356201172,303.66510009765625,10416.6083984375,6976.17724609375,39.418418884277344,53.640541076660156
60.030796,1.5902612,304.26334,10271.403,104.60779,46.455196,6819.653,39.124123,52.167953,52.02665666666667,2022-08-19 16:00:00,0.14129633333332947,1.4695348739624023,57.63249588012695,108.7291030883789,301.74871826171875,10350.451171875,7098.68603515625,39.75169372558594,52.770774841308594
59.742348,1.5798372,303.43088,10239.261,104.14615,46.178116,6868.477,39.302372,51.83671,51.78299722222223,2022-08-11 06:00:00,0.053712777777768395,1.4999922513961792,58.032440185546875,116.81773376464844,301.76312255859375,10334.4130859375,7473.5048828125,40.135807037353516,53.72372817993164
59.460617,1.5686578,302.631,10208.1,103.65763,45.88706,6917.093,39.494522,51.497665,51.47790166666667,2022-09-02 13:00:00,0.019763333333330024,1.4500393867492676,57.40644836425781,108.03530883789062,303.2862548828125,10320.33984375,7191.0966796875,40.04993438720703,54.07796096801758
59.189724,1.5567861,301.87726,10178.1045,103.15032,45.587677,6964.853,39.699135,51.155464,51.12950055555555,2022-09-09 06:00:00,0.02596344444445009,1.4220231771469116,57.05385208129883,107.85076904296875,302.50732421875,10249.71875,7148.37255859375,40.067955017089844,50.918514251708984
58.932587,1.5443203,301.17935,10149.37,102.632355,45.284504,7011.24,39.914185,50.81452,50.69784737547892,2022-09-09 09:00:00,0.11667262452107963,1.4111802577972412,56.64218521118164,107.23109436035156,302.4317626953125,10217.841796875,7201.71630859375,40.158111572265625,50.325645446777344
58.690857,1.5313834,300.54333,10121.914,102.111206,44.98098,7055.869,40.137245,50.478745,50.437311666666666,2022-08-18 15:00:00,0.04143333333333743,1.403913140296936,56.0963020324707,106.6153335571289,299.8794250488281,10199.05078125,7367.09765625,40.42800521850586,52.488182067871094
58.46491,1.5181177,299.9718,10095.712,101.59334,44.679684,7098.4805,40.365685,50.15134,50.14246361111111,2022-08-20 04:00:00,0.00887638888888631,1.3883949518203735,56.051422119140625,106.27796936035156,299.7986755371094,10160.435546875,7314.89404296875,40.426753997802734,51.13819885253906
58.254097,1.5046762,299.46432,10070.705,101.08392,44.382442,7138.916,40.596844,49.83477,49.87672666666666,2022-08-18 11:00:00,0.04195666666666398,1.376404047012329,55.324241638183594,106.26144409179688,299.0680847167969,10125.7275390625,7465.7353515625,40.60318374633789,53.13717269897461
58.05697,1.491214,299.01804,10046.841,100.58674,44.090668,7177.111,40.828182,49.53075,49.48693972222222,2022-08-15 18:00:00,0.043810277777780016,1.3648265600204468,55.098148345947266,105.48667907714844,301.17535400390625,10096.0595703125,7516.15625,40.65129852294922,51.05539321899414
57.87161,1.477882,298.62836,10024.062,100.104294,43.805386,7213.0625,41.05739,49.240334,49.24839694444445,2022-08-18 16:00:00,0.00806294444445399,1.3533607721328735,55.007999420166016,105.4935302734375,297.5190124511719,10058.7451171875,7533.16650390625,41.05752944946289,52.93052673339844
57.695885,1.4648179,298.28955,10002.331,99.63791,43.52741,7246.8237,41.282467,48.964012,48.92693361111111,2022-08-19 20:00:00,0.03707838888888659,1.339129090309143,54.75566101074219,105.01803588867188,297.3356628417969,10022.765625,7567.73681640625,41.149906158447266,52.94022750854492
57.52769,1.4521433,297.99527,9981.618,99.18811,43.257294,7278.4824,41.501762,48.701847,48.664540277777775,2022-08-20 00:00:00,0.037306722222226085,1.3304849863052368,54.783748626708984,104.5157699584961,297.68701171875,10001.587890625,7559.6904296875,41.245540618896484,50.79461669921875
